Date,Term,Contexts,Programs,Total Matches
2015-11-09,Chris Christie,5,7,8
2015-11-09,Donald Trump,37,40,102
2015-11-09,Jeb Bush,4,4,10
2015-11-09,John Kasich,1,1,1
2015-11-09,Marco Rubio,10,10,20
2015-11-09,Rand Paul,1,1,1
2015-11-09,Ted Cruz,3,3,3
2015-11-10,Ben Carson,26,37,107
2015-11-10,Carly Fiorina,4,4,5
2015-11-10,Chris Christie,17,31,44
2015-11-10,Donald Trump,33,41,107
2015-11-10,Jeb Bush,22,25,43
2015-11-10,John Kasich,3,4,4
2015-11-10,Marco Rubio,18,23,40
2015-11-10,Rand Paul,2,2,2
2015-11-10,Ted Cruz,9,10,12
2015-11-11,Ben Carson,23,31,64
2015-11-11,Carly Fiorina,14,17,27
2015-11-11,Chris Christie,13,21,27
2015-11-11,Donald Trump,28,33,88
2015-11-11,Jeb Bush,22,24,62
2015-11-11,John Kasich,8,9,13
2015-11-11,Marco Rubio,16,19,37
2015-11-11,Rand Paul,12,13,22
2015-11-11,Ted Cruz,11,12,22
2015-11-12,Ben Carson,9,10,20
2015-11-12,Carly Fiorina,3,3,8
2015-11-12,Chris Christie,3,5,5
2015-11-12,Donald Trump,20,23,51
2015-11-12,Jeb Bush,12,12,18
2015-11-12,John Kasich,2,2,3
2015-11-12,Marco Rubio,5,7,10
2015-11-12,Rand Paul,2,2,2
2015-11-12,Ted Cruz,6,6,7
2015-11-13,Ben Carson,19,22,62
2015-11-13,Carly Fiorina,6,8,8
2015-11-13,Chris Christie,5,6,6
2015-11-13,Donald Trump,23,25,77
2015-11-13,Jeb Bush,4,4,7
2015-11-13,John Kasich,1,1,2
2015-11-13,Marco Rubio,6,7,8
2015-11-13,Rand Paul,2,3,4
2015-11-13,Ted Cruz,2,2,3
2015-11-14,Ben Carson,7,7,11
2015-11-14,Carly Fiorina,0,0,0
2015-11-14,Chris Christie,2,2,2
2015-11-14,Donald Trump,7,7,11
2015-11-14,Jeb Bush,4,4,8
2015-11-14,John Kasich,2,2,2
2015-11-14,Marco Rubio,4,4,6
2015-11-14,Rand Paul,0,0,0
2015-11-14,Ted Cruz,3,3,4
2015-11-15,Ben Carson,6,7,12
2015-11-15,Carly Fiorina,1,1,1
2015-11-15,Chris Christie,5,5,6
2015-11-15,Donald Trump,11,13,26
