Date,Term,Contexts,Programs,Total Matches
2014-12-13,John Kasich,0,0,0
2014-12-13,Marco Rubio,1,1,1
2014-12-13,Rand Paul,0,0,0
2014-12-13,Ted Cruz,3,3,4
2014-12-14,Ben Carson,0,0,0
2014-12-14,Carly Fiorina,0,0,0
2014-12-14,Chris Christie,5,5,5
2014-12-14,Donald Trump,0,0,0
2014-12-14,Jeb Bush,5,5,11
2014-12-14,John Kasich,0,0,0
2014-12-14,Marco Rubio,1,1,1
2014-12-14,Rand Paul,2,2,3
2014-12-14,Ted Cruz,6,8,25
2014-12-15,Ben Carson,0,0,0
2014-12-15,Carly Fiorina,0,0,0
2014-12-15,Chris Christie,25,32,78
2014-12-15,Donald Trump,0,0,0
2014-12-15,Jeb Bush,3,3,7
2014-12-15,John Kasich,0,0,0
2014-12-15,Marco Rubio,0,0,0
2014-12-15,Rand Paul,2,2,3
2014-12-15,Ted Cruz,2,2,6
2014-12-16,Ben Carson,0,0,0
2014-12-16,Carly Fiorina,0,0,0
2014-12-16,Chris Christie,3,9,11
2014-12-16,Donald Trump,3,3,4
2014-12-16,Jeb Bush,9,12,23
2014-12-16,John Kasich,0,0,0
2014-12-16,Marco Rubio,0,0,0
2014-12-16,Rand Paul,0,0,0
2014-12-16,Ted Cruz,0,0,0
2014-12-17,Ben Carson,0,0,0
2014-12-17,Carly Fiorina,0,0,0
2014-12-17,Chris Christie,5,7,7
2014-12-17,Donald Trump,4,4,7
2014-12-17,Jeb Bush,13,15,27
2014-12-17,John Kasich,0,0,0
2014-12-17,Marco Rubio,6,6,8
2014-12-17,Rand Paul,0,0,0
2014-12-17,Ted Cruz,0,0,0
2014-12-18,Ben Carson,0,0,0
2014-12-18,Carly Fiorina,0,0,0
2014-12-18,Chris Christie,10,18,25
2014-12-18,Donald Trump,4,4,13
2014-12-18,Jeb Bush,4,8,9
2014-12-18,John Kasich,0,0,0
2014-12-18,Marco Rubio,9,9,10
2014-12-18,Rand Paul,1,1,1
2014-12-18,Ted Cruz,1,1,4
2014-12-19,Ben Carson,0,0,0
2014-12-19,Carly Fiorina,0,0,0
2014-12-19,Chris Christie,6,6,8
2014-12-19,Donald Trump,1,1,1
2014-12-19,Jeb Bush,0,0,0
2014-12-19,John Kasich,0,0,0
2014-12-19,Marco Rubio,0,0,0
2014-12-19,Rand Paul,0,0,0
2014-12-19,Ted Cruz,0,0,0
2014-12-20,Ben Carson,1,1,1
2014-12-20,Carly Fiorina,0,0,0
2014-12-20,Chris Christie,3,3,5
2014-12-20,Donald Trump,0,0,0
2014-12-20,Jeb Bush,0,0,0
2014-12-20,John Kasich,0,0,0
2014-12-20,Marco Rubio,1,1,1
2014-12-20,Rand Paul,1,1,1
2014-12-20,Ted Cruz,0,0,0
2014-12-21,Ben Carson,0,0,0
2014-12-21,Carly Fiorina,0,0,0
2014-12-21,Chris Christie,4,4,8
2014-12-21,Donald Trump,0,0,0
2014-12-21,Jeb Bush,5,5,37
2014-12-21,John Kasich,0,0,0
2014-12-21,Marco Rubio,7,7,30
2014-12-21,Rand Paul,4,4,20
2014-12-21,Ted Cruz,3,3,5
2014-12-22,Ben Carson,0,0,0
2014-12-22,Carly Fiorina,0,0,0
2014-12-22,Chris Christie,10,20,28
2014-12-22,Donald Trump,2,2,3
2014-12-22,Jeb Bush,1,1,10
2014-12-22,John Kasich,0,0,0
2014-12-22,Marco Rubio,1,1,4
2014-12-22,Rand Paul,1,1,4
2014-12-22,Ted Cruz,1,1,1
2014-12-23,Ben Carson,0,0,0
2014-12-23,Carly Fiorina,0,0,0
2014-12-23,Chris Christie,6,9,10
2014-12-23,Donald Trump,1,1,2
2014-12-23,Jeb Bush,1,1,1
2014-12-23,John Kasich,0,0,0
2014-12-23,Marco Rubio,0,0,0
2014-12-23,Rand Paul,0,0,0
2014-12-23,Ted Cruz,0,0,0
2014-12-24,Ben Carson,0,0,0
2014-12-24,Carly Fiorina,0,0,0
2014-12-24,Chris Christie,1,2,2
2014-12-24,Donald Trump,0,0,0
2014-12-24,Jeb Bush,1,1,1
2014-12-24,John Kasich,0,0,0
2014-12-24,Marco Rubio,0,0,0
2014-12-24,Rand Paul,0,0,0
2014-12-24,Ted Cruz,0,0,0
2014-12-25,Ben Carson,0,0,0
2014-12-25,Carly Fiorina,0,0,0
2014-12-25,Chris Christie,0,0,0
2014-12-25,Donald Trump,0,0,0
2014-12-25,Jeb Bush,0,0,0
2014-12-25,John Kasich,0,0,0
2014-12-25,Marco Rubio,0,0,0
2014-12-25,Rand Paul,0,0,0
2014-12-25,Ted Cruz,0,0,0
2014-12-26,Ben Carson,0,0,0
2014-12-26,Carly Fiorina,0,0,0
2014-12-26,Chris Christie,0,0,0
2014-12-26,Donald Trump,0,0,0
2014-12-26,Jeb Bush,0,0,0
2014-12-26,John Kasich,0,0,0
2014-12-26,Marco Rubio,0,0,0
2014-12-26,Rand Paul,0,0,0
2014-12-26,Ted Cruz,0,0,0
2014-12-27,Ben Carson,1,1,1
2014-12-27,Carly Fiorina,0,0,0
2014-12-27,Chris Christie,2,2,2
2014-12-27,Donald Trump,1,1,1
2014-12-27,Jeb Bush,0,0,0
2014-12-27,John Kasich,0,0,0
2014-12-27,Marco Rubio,0,0,0
2014-12-27,Rand Paul,0,0,0
2014-12-27,Ted Cruz,1,1,1
2014-12-28,Ben Carson,0,0,0
2014-12-28,Carly Fiorina,0,0,0
2014-12-28,Chris Christie,9,9,10
2014-12-28,Donald Trump,0,0,0
2014-12-28,Jeb Bush,7,7,15
2014-12-28,John Kasich,0,0,0
2014-12-28,Marco Rubio,1,1,1
2014-12-28,Rand Paul,3,3,5
2014-12-28,Ted Cruz,0,0,0
2014-12-29,Ben Carson,0,0,0
2014-12-29,Carly Fiorina,0,0,0
2014-12-29,Chris Christie,1,2,3
2014-12-29,Donald Trump,0,0,0
2014-12-29,Jeb Bush,3,3,4
2014-12-29,John Kasich,0,0,0
2014-12-29,Marco Rubio,0,0,0
2014-12-29,Rand Paul,1,1,1
2014-12-29,Ted Cruz,0,0,0
2014-12-30,Ben Carson,0,0,0
2014-12-30,Carly Fiorina,0,0,0
2014-12-30,Chris Christie,3,4,7
2014-12-30,Donald Trump,3,3,3
2014-12-30,Jeb Bush,4,4,5
2014-12-30,John Kasich,0,0,0
2014-12-30,Marco Rubio,0,0,0
2014-12-30,Rand Paul,0,0,0
2014-12-30,Ted Cruz,0,0,0
2014-12-31,Ben Carson,0,0,0
2014-12-31,Carly Fiorina,0,0,0
2014-12-31,Chris Christie,1,1,1
2014-12-31,Donald Trump,1,1,5
2014-12-31,Jeb Bush,0,0,0
2014-12-31,John Kasich,0,0,0
2014-12-31,Marco Rubio,0,0,0
2014-12-31,Rand Paul,0,0,0
2014-12-31,Ted Cruz,0,0,0
2015-01-01,Ben Carson,1,1,2
2015-01-01,Carly Fiorina,0,0,0
2015-01-01,Chris Christie,4,4,5
2015-01-01,Donald Trump,0,0,0
2015-01-01,Jeb Bush,13,13,22
2015-01-01,John Kasich,0,0,0
2015-01-01,Marco Rubio,1,1,1
2015-01-01,Rand Paul,2,2,2
2015-01-01,Ted Cruz,1,1,1
2015-01-02,Ben Carson,1,1,1
2015-01-02,Carly Fiorina,0,0,0
2015-01-02,Chris Christie,5,9,9
2015-01-02,Donald Trump,0,0,0
2015-01-02,Jeb Bush,4,4,8
2015-01-02,John Kasich,0,0,0
2015-01-02,Marco Rubio,1,1,1
2015-01-02,Rand Paul,0,0,0
2015-01-02,Ted Cruz,1,1,1
2015-01-03,Ben Carson,0,0,0
2015-01-03,Carly Fiorina,0,0,0
2015-01-03,Chris Christie,2,2,2
2015-01-03,Donald Trump,1,1,1
2015-01-03,Jeb Bush,2,2,3
2015-01-03,John Kasich,0,0,0
2015-01-03,Marco Rubio,2,2,2
